Change Attribute Type,Change Package,Change Parameter Type,Extract Class,Extract Subclass,Extract Superclass,Move And Rename Class,Parameterize Variable,Pull Up Attribute,Pull Up Method,Push Down Attribute,Push Down Method,Split Variable
0.0,0.2218697320041945,0.5471890902422919,0.3842706302382701,0.4215448943661972,0.3078742154833114,0.541837069125212,0.2139363498782708,0.2759812364031907,0.2617253034134525,0.3663242567530844,0.34876826152255747,0.34510178117048346
0.5228157483249479,0.2235953117326148,0.0,0.3550629225432355,0.44223151408450706,0.3483295011005736,0.5049232654573436,0.28639264799420966,0.3164204133430022,0.32221158331491984,0.38292842002282734,0.39298601494080243,0.36036895674300257
0.15298268640270926,0.07073549517501361,0.1589932259189421,0.21903881700554528,0.2083700117370892,0.2005907911855919,0.16221126579933595,0.7255390081810804,0.20250181290790428,0.2041933662321082,0.19944018696668298,0.19811191948350856,0.2811704834605598
0.011639282502491312,0.00812349841379402,0.012779705103296521,0.03196136024105538,0.0,0.04740240080517801,0.023925217663906977,0.007742416599039326,0.01622552574329224,0.017005884134115704,0.5781564215446492,0.5038717353566483,0.011450381679389313
0.03810388968556822,0.033927552198786785,0.0451206159527436,0.08745853695591624,0.21247799295774647,0.0,0.08484261225187739,0.03211019235408944,0.5645735134155185,0.5211673336443168,0.15223653459427142,0.15701496030739823,0.03880407124681934
0.10721548420549466,0.058669710766290135,0.10033716713887025,0.7081761324791735,0.2084800469483568,0.15115089723342798,0.1590122119782835,0.08001228258723928,0.16639095358955766,0.13528598201206288,0.20327191695200827,0.1768320037449531,0.1291348600508906
0.10224501535295595,1.0,0.10612020363580861,0.2256539133517332,0.25062353286384975,0.18796487983700055,0.4413269304757969,0.06067817428113965,0.1723508883248731,0.1577995466188734,0.19503777379205392,0.1854141879108233,0.09796437659033079
0.10119481645318361,0.07105406374026042,0.11329812210304956,0.7356999974679057,0.2419307511737089,0.19708859412972857,0.1809852230787865,0.08658127344109841,0.18104151559100798,0.1882841079276227,0.20395130170117942,0.2189627260137705,0.11577608142493638
0.02466701504508665,0.016485923251523156,0.029599904181360093,0.051471146785506294,0.05252347417840376,0.40771956238902207,0.04866266725565356,0.02335884894611015,0.0,0.513818303830825,0.0567422142507745,0.053482611324582104,0.02385496183206107
0.03238805305074172,0.021516651844379255,0.04173198551273042,0.06773985263211202,0.07621772300469483,0.5210991007208962,0.0656839135329239,0.031616695545368806,0.7113963923132705,0.0,0.07478667318876026,0.08884511108077006,0.03371501272264631
0.013651572969075338,0.00793766675073337,0.014935624501165404,0.03157521586103867,0.7803330399061033,0.045839504455482,0.023084486370178264,0.011372359792073345,0.023658448150833938,0.022521748381658525,0.0,0.5354112621662213,0.010814249363867684
0.01810858874332612,0.011707394772820791,0.021355685362960796,0.043564682348770666,0.9475132042253521,0.06587076238247593,0.03164142097838323,0.014497839580637379,0.031068709209572155,0.03727709443257797,0.7459644545899233,0.0,0.023536895674300253
0.3005472781923211,0.1532580272641597,0.48487093631982225,0.3494606639151242,0.3325630868544601,0.29306352232650623,0.35024295709420467,0.35658982738578293,0.283606780275562,0.30046729354382,0.31327789553780094,0.3296338918254696,0.5139949109414759
0.22075849273671502,0.12011362278827137,0.23531955622402484,0.23554807181019422,0.19956719483568075,0.18939685293227176,0.2693332573350243,0.3889851512293554,0.18356825598259607,0.1828173463291678,0.1991684330670145,0.20029647545300278,0.5562977099236641
